,Unnamed: 0,name,isin,type,dtcreated,language,headline,label,id
11605,15857,CPI PROPERTY GROUP,LU0251710041,0,2012-04-30,1,orco germany s.a.: 2011 opg bondholders approved proposed restructuring transaction,0.0,LU02517100412012-04-30
11610,15862,Harboes Bryggeri A/S,DK0060014751,0,2012-05-01,1,insider transaction,0.0,DK00600147512012-05-01
11611,15863,SRV Yhtiöt Oyj,FI0009015309,0,2012-05-02,1,invitation to a press conference: srv groups q1 2012 result,1.0,FI00090153092012-05-02
11613,15865,Electrawinds SE,LU0538936351,0,2012-05-02,1,"european cleantech 1 s.e.: european cleantech i se intends to enter into a business combination with the independent electrawinds group, a european cleantech company",0.0,LU05389363512012-05-02
11614,15867,IC Companys A/S,DK0010221803,0,2012-05-02,1,ic companys - information meeting,1.0,DK00102218032012-05-02
11616,15869,4SC AG,DE000A14KL72,0,2012-05-02,1,4sc ag: 4sc ag: dr jörg neermann announces resignation from supervisory board,0.0,DE000A14KL722012-05-02
11617,15871,Panostaja Oyj,FI0009800379,0,2012-05-02,1,panostaja strengthens its value-added logistics business area with purchase of hsg logistics oy,1.0,FI00098003792012-05-02
11618,15872,SCHULER AG,DE000A0V9A22,0,2012-05-02,1,schuler ag: preliminary half-year figures 2011/12 - full-year guidance 2011/12 upgraded,1.0,DE000A0V9A222012-05-02
11619,15874,E.ON SE,DE000ENAG999,0,2012-05-02,1,e.on ag: outlook q1/2012 and year 2012,1.0,DE000ENAG9992012-05-02
11620,15876,Suominen Oyj,FI0009010862,0,2012-05-02,1,suominen corporation: mr. petri rolig leaving suominen corporation,1.0,FI00090108622012-05-02
11621,15877,Topotarget,DK0060003556,0,2012-05-02,1,"topotarget issues warrants to employees, management and board of directors",1.0,DK00600035562012-05-02
11622,15878,DSV A/S,DK0060079531,0,2012-05-02,1,"dsv, 451 - statement of insiders' trading in dsv shares",1.0,DK00600795312012-05-02
11624,15880,Latvijas tilti,LV0000100311,0,2012-05-02,1,report on corporate governance 2011,0.0,LV00001003112012-05-02
11626,15883,Deutsche Lufthansa AG,DE0008232125,0,2012-05-02,1,deutsche lufthansa ag: lufthansa closes first quarter with operating loss of eur 381m and improves net result to eur -397 m,0.0,DE00082321252012-05-02
11627,15885,Accentro Real Estate AG,DE000A0KFKB3,0,2012-05-02,1,estavis ag: andreas lewandowski becomes new ceo of estavis ag,0.0,DE000A0KFKB32012-05-02
11628,15887,Einhell Germany AG,DE0005654933,0,2012-05-02,1,einhell germany ag: acquisition of kwb tools gmbh & co. kg,0.0,DE00056549332012-05-02
11629,15889,Cimber Sterling Group,DK0060196848,0,2012-05-03,1,cimber sterling declared bankruptcy,1.0,DK00601968482012-05-03
11632,15892,MAN SE,DE0005937007,0,2012-05-03,1,man se: slower growth in difficult market environment,0.0,DE00059370072012-05-03
11633,15894,VERBUND AG,AT0000746409,0,2012-05-03,1,verbund ag: q1/2012: clearly positive business development despite the challenging market and industry environment,0.0,AT00007464092012-05-03
11638,15900,Dyckerhoff GmbH,DE0005591036,0,2012-05-03,1,dyckerhoff ag: dyckerhoff group sales decreased slightly in the first quarter of 2012 as a result of weather conditions,1.0,DE00055910362012-05-03
11642,15905,Lemminkäinen,FI0009900336,0,2012-05-03,1,correction to lemminkäinen corporation's interim report 1-3/2012 english version,1.0,FI00099003362012-05-03
11643,15906,CENIT AG,DE0005407100,0,2012-05-03,1,cenit ag: increase of sales and result in the first quarter in relation to previous year  ,0.0,DE00054071002012-05-03
11644,15908,ALK-Abelló,DK0060027142,0,2012-05-03,1,release date of three-month interim report (q1) 2012 for alk,0.0,DK00600271422012-05-03
11645,15909,PULSION Medical Systems SE,DE0005487904,0,2012-05-03,1,pulsion medical systems se raises buy-volume in conjunction with share buy-back,1.0,DE00054879042012-05-03
11646,15911,Accentro Real Estate AG,DE000A0KFKB3,0,2012-05-03,1,estavis ag: andreas lewandowski appointed to the board of estavis ag - correction of english translation,0.0,DE000A0KFKB32012-05-03
11648,15914,Brivais vilnis,LV0000100824,0,2012-05-03,1,announcement about significant obtaining of shares,1.0,LV00001008242012-05-03
11650,15916,Københavns Lufthavne A/S,DK0010201102,0,2012-05-03,1,consequences of cimber sterling's bankruptcy,0.0,DK00102011022012-05-03
11652,15918,Sky Deutschland GmbH,DE000SKYD000,0,2012-05-03,1,"sky deutschland ag: substantial increase in sky hd channels to be available for cable customers: sky deutschland, unitymedia and kabel bw enter long-term cooperation agreement",0.0,DE000SKYD0002012-05-03
11655,15922,Zealand Pharma A/S,DK0060257814,0,2012-05-03,1,zealand pharma signs licensing agreement with abbott for the further clinical development and commercialization of ap214 (zp1480) for prevention of acute kidney injury,0.0,DK00602578142012-05-03
11657,15924,Dantherm,DK0010223692,0,2012-05-03,1,insiders' dealings 2 may 2012,1.0,DK00102236922012-05-03
11660,15928,Gigaset AG,DE0005156004,0,2012-05-03,1,gigaset ag: arbitration filed against gigaset ag based on 2006 transaction,0.0,DE00051560042012-05-03
11661,15929,Elmos Semiconductor AG,DE0005677108,0,2012-05-03,1,elmos semiconductor ag: market uncertainty determines first quarter 2012,0.0,DE00056771082012-05-03
11662,15931,SSH Communications Security Oyj,FI0009008270,0,2012-05-04,1,final result of the public tender offer by clausal computing oy,1.0,FI00090082702012-05-04
11664,15933,Cimber Sterling Group,DK0060196848,0,2012-05-04,1,"vedr. cimber sterling a/s cvr. 33473516 - der henvises til indholdet af selskabsmeddelelse nr. 1/2012, dateret 3. maj 2012",1.0,DK00601968482012-05-04
11665,15934,MOBOTIX AG,DE0005218309,0,2012-05-04,1,mobotix ag: resumption of share purchases within the current share buyback program,0.0,DE00052183092012-05-04
11666,15936,Doro AB,SE0000215493,0,2012-05-04,1,doro loses dispute with fysics of the netherlands,1.0,SE00002154932012-05-04
11668,15938,First Sensor AG,DE0007201907,0,2012-05-04,1,first sensor ag: extraordinary general meeting,1.0,DE00072019072012-05-04
11669,15940,Nokia,FI0009000681,0,2012-05-04,1,nokia's comment on class action complaint,0.0,FI00090006812012-05-04
11670,15942,Intrum Justitia AB,SE0000936478,0,2012-05-07,1,liquidity squeeze as business debt write-offs escalate,1.0,SE00009364782012-05-07
11671,15943,FormPipe Software AB,SE0001338039,0,2012-05-07,1,formpipe software acquires the danish company traen for a threefold increase in total revenue,1.0,SE00013380392012-05-07
11673,15945,Dantherm,DK0010223692,0,2012-05-07,1,insiders' dealings 2 and 3 may 2012,0.0,DK00102236922012-05-07
11678,15950,Cimber Sterling Group,DK0060196848,0,2012-05-07,1,"correction: vedr. cimber sterling a/s cvr. 33473516 - der henvises til indholdet af selskabsmeddelelse nr. 1/2012, dateret 3. maj 2012",1.0,DK00601968482012-05-07
11679,15951,Tieto,FI0009000277,0,2012-05-07,1,tieto concludes personnel negotiations in finland,0.0,FI00090002772012-05-07
11680,15952,itelligence AG,DE0007300402,0,2012-05-07,1,supervisory board of itelligence ag extends contracts of ceo herbert vogel and cfo norbert rotter  ,0.0,DE00073004022012-05-07
11681,15954,Africa Oil Corp.,CA00829Q1019,0,2012-05-07,1,ngamia-1 well discovers additional oil in kenya,1.0,CA00829Q10192012-05-07
11682,15955,elexis AG,DE0005085005,0,2012-05-07,1,elexis ag: final results of the first three months of 2012,1.0,DE00050850052012-05-07
11683,15958,Neo Industrial Oyj,FI0009800296,0,2012-05-07,1,neo industrial’s subsidiary avilon filed the draft restructuring program,0.0,FI00098002962012-05-07
11685,15961,CropEnergies AG,DE000A0LAUP1,0,2012-05-07,1,cropenergies raises dividend and appoints new member of executive board ,1.0,DE000A0LAUP12012-05-07
11686,15963,H. Lundbeck A/S,DK0010287234,0,2012-05-07,1,results from a clinical phase iii study of once-monthly aripiprazole im depot formulation for the maintenance treatment of schizophrenia presented at apa,0.0,DK00102872342012-05-07
11687,15964,Funkwerk AG,DE0005753149,0,2012-05-07,1,funkwerk ag: merger of hörmann-funkwerk kölleda gmbh (fwk) with and into funkwerk ag,1.0,DE00057531492012-05-07
11688,15966,Deutsche Lufthansa AG,DE0008232125,0,2012-05-07,1,deutsche lufthansa ag: simone menne appointed new chief financial officer of deutsche lufthansa ag,0.0,DE00082321252012-05-07
11689,15968,Rheinmetall AG,DE0007030009,0,2012-05-07,1,rheinmetall ag: rheinmetall plans ipo of automotive division in the first half of 2012,1.0,DE00070300092012-05-07
11690,15970,Orascom Development Holding AG,CH0038285679,0,2012-05-07,1,orascom development holding ag: annual general meeting approves all board of directors proposals ,1.0,CH00382856792012-05-07
11691,15972,Airopack Technology Group AG,CH0242606942,0,2012-05-08,1,ips innovative packaging solutions ag : i.p.s ag announces the successful initial deliveries of the first part of millions of eco-friendly product dispensers to super-max,1.0,CH02426069422012-05-08
11692,15974,Lassila & Tikanoja Oyj,FI0009010854,0,2012-05-08,1,lassila & tikanoja plc negotiates on an arrangement aiming to merge the businesses of l&t recoil oy and ecostream oy,1.0,FI00090108542012-05-08
11693,15975,New Work SE,DE000NWRK013,0,2012-05-08,1,"xing ag: dr. thomas vollmoeller, 52, named new chief executive officer (ceo) of xing ag. ",1.0,DE000NWRK0132012-05-08
11694,15977,Finnair Oyj,FI0009003230,0,2012-05-08,1,traffic performance april 2012,1.0,FI00090032302012-05-08
11695,15978,Lucara Diamond Corp,CA54928Q1081,0,2012-05-08,1,karowe progress update,1.0,CA54928Q10812012-05-08
11696,15980,Konecranes Oyj,FI0009005870,0,2012-05-08,1,konecranes plc - konecranes plc’s share subscriptions based on stock options,0.0,FI00090058702012-05-08
11697,15981,Harju Elekter,EE3100004250,0,2012-05-08,1,information released by as harju elekter,0.0,EE31000042502012-05-08
11698,15982,SSH Communications Security Oyj,FI0009008270,0,2012-05-08,1,"flagging announcement pursuant to chapter 2, section 9 of the finnish securities market act at tectia corporation",1.0,FI00090082702012-05-08
11699,15983,Lundin Petroleum AB,SE0000825820,0,2012-05-08,1,lundin petroleum receives expert opinion against investigation,0.0,SE00008258202012-05-08
11700,15984,Ventspils nafta,LV0000100816,0,2012-05-08,1,vn will hold investor conference webinar on 2011 results,1.0,LV00001008162012-05-08
11702,15988,H. Lundbeck A/S,DK0010287234,0,2012-05-08,1,new data presented at the 2012 annual meeting of the american psychiatric association (apa) suggest that lu aa21004 may have positive effect on cognitive dysfunction in patients with major depressive disorders,1.0,DK00102872342012-05-08
11704,15991,All for One Group AG,DE0005110001,0,2012-05-08,1,all for one steeb ag: 6-month results for the financial year 2011/12,1.0,DE00051100012012-05-08
11705,15993,Turbon AG,DE0007504508,0,2012-05-08,1,turbon ag: financials for first quarter 2012,1.0,DE00075045082012-05-08
11707,15996,paragon GmbH & Co. KGaA,DE0005558696,0,2012-05-08,1,revenue increase of 11.8% in the first quarter,1.0,DE00055586962012-05-08
11708,15998,Deutsche Beteiligungs AG,DE000A1TNUT7,0,2012-05-08,1,deutsche beteiligungs ag: revenue office revises opinion on value-added tax,0.0,DE000A1TNUT72012-05-08
11709,16000,Biotest AG,DE0005227235,0,2012-05-08,1,biotest ag: preliminary investigation by public prosecution - company rejects suspicions,1.0,DE00052272352012-05-08
11710,16002,McKesson Europe AG,DE000CLS1001,0,2012-05-08,1,celesio ag: non-cash impairment on discontinued operations,1.0,DE000CLS10012012-05-08
11712,16005,Peach Property Group AG,CH0118530366,0,2012-05-09,1,peach property group has notarised 13 of the 23 condominiums in its peninsula beach house development in wädenswil,1.0,CH01185303662012-05-09
11713,16007,SRV Yhtiöt Oyj,FI0009015309,0,2012-05-09,1,srv has brought an action against  kiinteistö oy primulan herkkupaja,0.0,FI00090153092012-05-09
11714,16008,Stockmann Oyj Abp,FI0009000251,0,2012-05-09,1,stockmann group's revenue in april 2012,1.0,FI00090002512012-05-09
11715,16009,Africa Oil Corp.,CA00829Q1019,0,2012-05-09,1,africa oil annual meeting update,1.0,CA00829Q10192012-05-09
11716,16010,Lundin Petroleum AB,SE0000825820,0,2012-05-09,1,lundin petroleum spuds exploration well on the albert prospect in northern north sea,1.0,SE00008258202012-05-09
11717,16011,Liepajas metalurgs,LV0000100535,0,2012-05-09,1,explanation of difference in non-audited and audited consolidated profit of the year 2011,1.0,LV00001005352012-05-09
11718,16012,Zealand Pharma A/S,DK0060257814,0,2012-05-09,1,zealand pharma a/s announcement of transactions in the company’s shares and related securities by executives and their related parties,1.0,DK00602578142012-05-09
11719,16013,Vestjysk Bank A/S,DK0010304500,0,2012-05-09,1,report on transaction(s) with subscription rights and/or shares in vestjysk bank a/s,1.0,DK00103045002012-05-09
11720,16014,Grobina,LV0000100527,0,2012-05-09,1,information on significant events,0.0,LV00001005272012-05-09
11721,16015,Topsil Semiconductor Materials A/S,DK0010271584,0,2012-05-09,1,warrant programme – updated articles of association,0.0,DK00102715842012-05-09
11722,16016,Veloxis Pharmaceuticals A/S,DK0060048148,0,2012-05-09,1,veloxis pharmaceuticals a/s to host conference call announcing interim report for 1st quarter 2012,1.0,DK00600481482012-05-09
11724,16018,BankNordik P/F,FO0000000088,0,2012-05-09,1,q1-2012 interim report - conference call,0.0,FO00000000882012-05-09
11726,16021,Marel hf.,IS0000000388,0,2012-05-09,1,date of transaction: 9 may 2012,0.0,IS00000003882012-05-09
11728,16023,Seligson & Co Rahastoyhtiö Oyj,FI0008805627,0,2012-05-09,1,proposed dividend for seligson & co omx helsinki 25 exchange traded fund,0.0,FI00088056272012-05-09
11732,16027,Danske Bank A/S,DK0010274414,0,2012-05-10,1,organisational changes at danske bank,1.0,DK00102744142012-05-10
11733,16028,BlackPearl Resources Inc.,SE0002060863,0,2012-05-10,1,blackpearl announces an increase in its bank credit facilities to $115 million,1.0,SE00020608632012-05-10
11735,16030,Leifheit Aktiengesellschaft,DE0006464506,0,2012-05-10,1,leifheit ag: first quarter of 2012 with strong growth in earnings,0.0,DE00064645062012-05-10
11738,16034,ALLGEIER SE,DE000A2GS633,0,2012-05-10,1,allgeier continues growth course into first quarter 2012 ,1.0,DE000A2GS6332012-05-10
11739,16036,"United Plantations Berhad, Malaysia",DK0010023258,0,2012-05-10,1,monthly production april 2012,0.0,DK00100232582012-05-10
11742,16039,Powerflute Oyj,FI0009015291,0,2012-05-10,1,application for delisting from first north finland,0.0,FI00090152912012-05-10
11743,16040,ZEAL Network SE,DE000ZEAL241,0,2012-05-10,1,tipp24 executive board member petra von strombeck and managing director for germany magnus von zitzewitz to head lotto24 ag,0.0,DE000ZEAL2412012-05-10
11744,16042,itelligence AG,DE0007300402,0,2012-05-10,1,ntt communications refrains from exercising pre emptive subscription rights in connection with capital increase from authorized capital,0.0,DE00073004022012-05-10
11746,16046,Your Family Entertainment AG,DE000A161N14,0,2012-05-10,1,your family entertainment ag proposes tax-free dividend of 2 euro cents per share,0.0,DE000A161N142012-05-10
11748,16049,Icelandair Group hf.,IS0000013464,0,2012-05-10,1,decision on secondary listing on oslo børs postponed until further notice,0.0,IS00000134642012-05-10
11749,16050,AEVIS VICTORIA SA,CH0478634105,0,2012-05-10,1,genolier swiss medical network (gsmn):  chiffre d'affaires du 1er trimestre 2012 en augmentation de 60% à chf 81.6 millions - toutes les entités progressent et les acquisitions ont renforcé la position du groupe,0.0,CH04786341052012-05-10
11750,16053,Ventspils nafta,LV0000100816,0,2012-05-10,1,lsc investor conference webinar,0.0,LV00001008162012-05-10
11752,16055,Fresenius SE & Co. KGaA,DE0005785604,0,2012-05-10,1,fresenius se & co. kgaa: fresenius resolves on capital increase of approx. eur1 billion,0.0,DE00057856042012-05-10
11754,16059,SURTECO GROUP SE,DE0005176903,0,2012-05-11,1,surteco se: quarterly figures for the period 1 january to 31 march 2012,0.0,DE00051769032012-05-11
11755,16061,Centrosolar Group AG,DE000A1TNS13,0,2012-05-11,1,centrosolar group ag: sales volume increased slightly - drive to internationalise continues ,0.0,DE000A1TNS132012-05-11
11756,16063,Alliance Oil Company Ltd,SE0000739286,0,2012-05-11,1,operational update for april 2012,0.0,SE00007392862012-05-11
11757,16064,Bang & Olufsen A/S,DK0010218429,0,2012-05-11,1,bang & olufsen enters new agreement with audi,1.0,DK00102184292012-05-11
11758,16065,Raisio,FI0009800395,0,2012-05-11,1,raisio's converted shares,1.0,FI00098003952012-05-11
11760,16067,Neo Industrial Oyj,FI0009800296,0,2012-05-11,1,neo industrial’s 2011 results according to segment reporting,1.0,FI00098002962012-05-11
11761,16068,IMMOFINANZ AG,AT0000A21KS2,0,2012-05-11,1,immofinanz ag: immofinanz ag intends to issue a corporate bond,1.0,AT0000A21KS22012-05-11
11762,16070,Dantherm,DK0010223692,0,2012-05-11,1,insider's dealings 7 may 2012,0.0,DK00102236922012-05-11
11763,16071,Borussia Dortmund GmbH & Co. KGaA,DE0005493092,0,2012-05-11,1,borussia dortmund announces results of the third quarter 2011/2012,0.0,DE00054930922012-05-11
11764,16073,Københavns Lufthavne A/S,DK0010201102,0,2012-05-11,1,traffic statistics april 2012,1.0,DK00102011022012-05-11
11766,16076,Vivacon AG,DE0006048911,0,2012-05-11,1,vivacon ag: vivacon ag - change to management board,0.0,DE00060489112012-05-11
11767,16077,Fresenius SE & Co. KGaA,DE0005785604,0,2012-05-11,1,fresenius se & co. kgaa: fresenius successfully completes capital increase,1.0,DE00057856042012-05-11
11768,16079,QSC AG,DE0005137004,0,2012-05-11,1,qsc ag decides to conduct share buyback of up to 10% of the share capital,1.0,DE00051370042012-05-11
11769,16081,Grindeks,LV0000100659,0,2012-05-11,1,“grindeks” project “profession days for pupils” is successfully concluded,1.0,LV00001006592012-05-11
11773,16085,Phoenix Solar Aktiengesellschaft,DE000A0BVU93,0,2012-05-11,1,phoenix solar aktiengesellschaft: financing negotiations successfully concluded,1.0,DE000A0BVU932012-05-11
11780,16095,Peach Property Group AG,CH0118530366,0,2012-05-11,1,peach property group ag shareholders approve all motions ,1.0,CH01185303662012-05-11
11781,16098,Greentech Energy Systems A/S,DK0010240514,0,2012-05-11,1,greentech energy systems a/s submits the prospectus to spanish stock market authorities for the acquisition of 100% of fersa energías renovables,1.0,DK00102405142012-05-11
11783,16100,Infineon Technologies AG,DE0006231004,0,2012-05-13,1,"infineon technologies ag: peter bauer resigns as ceo of infineon technologies ag effective september 30, 2012 due to health reasons. dr. reinhard ploss appointed new ceo of infineon technologies ag effective october 1, 2012",0.0,DE00062310042012-05-13
11784,16102,Praktiker AG,DE000A0F6MD5,0,2012-05-13,1,restructuring and financing milestone reached/changes in the managment board,1.0,DE000A0F6MD52012-05-13
11785,16104,S&T AG,AT0000A0E9W5,0,2012-05-14,1,quanmax ag affirms positive trend with record gross margin in the first,0.0,AT0000A0E9W52012-05-14
11786,16106,MOLOGEN AG,DE000A2LQ900,0,2012-05-14,1,mologen ag: excellent outcome for phase 2 colorectal cancer study with mgn1703 - primary endpoint achieved,1.0,DE000A2LQ9002012-05-14
11787,16108,Olainfarm,LV0000100501,0,2012-05-14,1,"“olainfarm” plans to increase dividends, strengthens its product portfolio in export markets",1.0,LV00001005012012-05-14
11788,16109,DF Deutsche Forfait AG,DE000A2AA204,0,2012-05-14,1,df deutsche forfait ag generates consolidated profit in the first quarter ,0.0,DE000A2AA2042012-05-14
11789,16111,Suominen Oyj,FI0009010862,0,2012-05-14,1,suominen corporation to improve efficiency and begin codetermination negotiations,1.0,FI00090108622012-05-14
11790,16112,Bang & Olufsen A/S,DK0010218429,0,2012-05-14,1,bang & olufsen launches high-end surround sound system for bmw 5 series,0.0,DK00102184292012-05-14
11792,16114,Nordic Shipholding A/S,DK0060083996,0,2012-05-14,1,nordic shipholding a/s - postponement of public disclosure of interim report - q1 2012,0.0,DK00600839962012-05-14
11799,16121,ALK-Abelló,DK0060027142,0,2012-05-14,1,share buy-back programme,0.0,DK00600271422012-05-14
11800,16122,NKT Holding A/S,DK0010287663,0,2012-05-14,1,shareholdings report,0.0,DK00102876632012-05-14
11801,16123,H. Lundbeck A/S,DK0010287234,0,2012-05-14,1,statistically significant clinical phase iii results of lu aa21004 provide basis for submission of an nda and maa for major depression (mdd),1.0,DK00102872342012-05-14
11802,16124,Dantherm,DK0010223692,0,2012-05-14,1,insider´s dealings 11 may 2012,0.0,DK00102236922012-05-14
11803,16125,Neo Industrial Oyj,FI0009800296,0,2012-05-14,1,correction to neo industrial’s  interim report q1/2012,1.0,FI00098002962012-05-14
11806,16128,NEW VALUE AG,CH0010819867,0,2012-05-14,1,new value ag: new board of directors of new value undertakes value adjustments,0.0,CH00108198672012-05-14
11807,16130,Asian Bamboo AG,DE000A0M6M79,0,2012-05-15,1,asian bamboo announces q1 2012 results,0.0,DE000A0M6M792012-05-15
11808,16132,Leclanché SA,CH0110303119,0,2012-05-15,1,leclanché's lithium-ion cells pass successfully international safety test performed by german tüv,1.0,CH01103031192012-05-15
11809,16135,Airopack Technology Group AG,CH0242606942,0,2012-05-15,1,i.p.s. innovative packaging solutions ag wins prestigious 2012 gold dupont packaging award for innovation and sustainability ,0.0,CH02426069422012-05-15
11811,16138,Hamburger Hafen und Logistik AG,DE000A0S8488,0,2012-05-15,1,"hamburger hafen und logistik ag: terminal modernisation burdens quarterly results, structural changes improve earnings prospects",0.0,DE000A0S84882012-05-15
11812,16140,Comarch Software und Beratung AG,DE000A1KRMR8,0,2012-05-15,1,"comarch software und beratung ag: report of comarch software und beratung ag as at march 31, 2012",1.0,DE000A1KRMR82012-05-15
11813,16142,United Labels AG,DE0005489561,0,2012-05-15,1,united labels ag focuses on higher-margin customers,0.0,DE00054895612012-05-15
11815,16146,Merck KGaA,DE0006599905,0,2012-05-15,1,merck kgaa: merck announces 2014 outlook and merck serono savings target,0.0,DE00065999052012-05-15
11817,16149,D/S Norden,DK0060083210,0,2012-05-15,1,statement of leading employees’ transactions with norden shares and related securities,1.0,DK00600832102012-05-15
11818,16150,Augusta Technologie AG,DE000A0D6612,0,2012-05-15,1,augusta technologie ag publishes joint statement of the managing board and the supervisory board,1.0,DE000A0D66122012-05-15
11819,16152,NKT Holding A/S,DK0010287663,0,2012-05-15,1,shareholdings report,0.0,DK00102876632012-05-15
11820,16153,Advanced Vision Technology Ltd.,IL0010837248,0,2012-05-15,1,advanced vision technology ltd.: avt further improved its financial performance in the first three months of 2012,1.0,IL00108372482012-05-15
11823,16157,Greentech Energy Systems A/S,DK0010240514,0,2012-05-15,1,monthly update for april 2012,0.0,DK00102405142012-05-15
11825,16159,Carlsberg A/S,DK0010181759,0,2012-05-15,1,voluntary offer to minority shareholders in baltika breweries submitted to russian authorities,1.0,DK00101817592012-05-15
11826,16160,Olainfarm,LV0000100501,0,2012-05-15,1,in april “olainfarm” sells products worth 3.22 million lats,1.0,LV00001005012012-05-15
11827,16161,AEVIS VICTORIA SA,CH0478634105,0,2012-05-15,1,genolier swiss medical network (gsmn) change de nom et devient aevis holding sa - la holding cotée qui détient les cliniques genolier veut diversifier ses investissements dans le secteur de la santé,1.0,CH04786341052012-05-15
11828,16164,MBB SE,DE000A0ETBQ4,0,2012-05-15,1,mbb industries ag: mbb industries ag: earnings climb 135% in first quarter of 2012 to eur3.2m (49 cents per share),1.0,DE000A0ETBQ42012-05-15
11829,16168,International Minerals Corp.,CA4598751002,0,2012-05-16,1,"international minerals reports $6.8 million in pre-tax income for third fiscal quarter ending march 31, 2012. signs agreement for sale of ruby hill royalty for $38 million",0.0,CA45987510022012-05-16
11830,16170,Airbus SE,NL0000235190,0,2012-05-16,1,european aeronautic defence and space company eads n.v.: on track: eads reports first quarter (q1) results 2012,1.0,NL00002351902012-05-16
11833,16174,elexis AG,DE0005085005,0,2012-05-16,1,elexis ag: application to switch from the prime standard to the general standard,1.0,DE00050850052012-05-16
11835,16177,C-Rad AB,SE0002016352,0,2012-05-16,1,c-rad ab:the estro meeting 2012,0.0,SE00020163522012-05-16
11837,16179,Alm. Brand A/S,DK0015250344,0,2012-05-16,1,alm. brand a/s – report on transactions of executives and related par-ties of these with alm. brand a/s shares,1.0,DK00152503442012-05-16
11839,16181,Spar Nord Bank A/S,DK0060036564,0,2012-05-16,1,spar nord terminates cooperation with moody's,1.0,DK00600365642012-05-16
11840,16183,Tieto,FI0009000277,0,2012-05-16,1,tieto concludes personnel negotiations in sweden,1.0,FI00090002772012-05-16
11841,16184,Dantherm,DK0010223692,0,2012-05-16,1,insider´s dealings 14 may 2012,1.0,DK00102236922012-05-16
11849,16193,Ventspils nafta,LV0000100816,0,2012-05-16,1,ventspils nafta’s presentation on 2011 results,0.0,LV00001008162012-05-16
11852,16196,KUKA Aktiengesellschaft,DE0006204407,0,2012-05-16,1,kuka aktiengesellschaft: kuka extends ceo's contract / appoints new cfo,1.0,DE00062044072012-05-16
11853,16198,Vita 34 AG,DE000A0BL849,0,2012-05-16,1,vita 34 ag: vita 34 strengthens biotechnology sector by company takeover and announces change in management board,0.0,DE000A0BL8492012-05-16
11854,16200,eQ Oyj,FI0009009617,0,2012-05-16,1,"notification according to chapter 2, section 10 of the finnish securities",0.0,FI00090096172012-05-16
11858,16206,Princess Private Equity Holding Ltd.,DE000A0LBRM2,0,2012-05-16,1,princess private equity holding ltd.: board decision on dividend payment,1.0,DE000A0LBRM22012-05-16
11860,16208,Deufol SE,DE000A1R1EE6,0,2012-05-16,1,"deufol ag decides on change of legal form to se, the implementation of registered shares and makes a dividend proposal",1.0,DE000A1R1EE62012-05-16
11861,16210,Topotarget,DK0060003556,0,2012-05-17,1,clinical data on belinostat for asco 2012,0.0,DK00600035562012-05-17
11862,16211,Rigas kugu buvetava,LV0000100378,0,2012-05-17,1,regarding the publicity in the news paper telegraf.,0.0,LV00001003782012-05-17
11863,16212,Africa Oil Corp.,CA00829Q1019,0,2012-05-17,1,africa oil provides update on puntland drilling,0.0,CA00829Q10192012-05-17
11864,16213,Seligson & Co Rahastoyhtiö Oyj,FI0008805627,0,2012-05-18,1,technical changes in the rules of the omx helsinki 25 exchange traded fund,0.0,FI00088056272012-05-18
11865,16214,Ventspils nafta,LV0000100816,0,2012-05-18,1,ventspils nafta investor conference webinar,0.0,LV00001008162012-05-18
11866,16215,VEF Radiotehnika RRR,LV0000100972,0,2012-05-18,1,information on general meetings of shareholders,0.0,LV00001009722012-05-18
11868,16217,Powerflute Oyj,FI0009015291,0,2012-05-18,1,tr-1: notification of major interest in shares,0.0,FI00090152912012-05-18
11869,16218,"United Plantations Berhad, Malaysia",DK0010023258,0,2012-05-18,1,insider trading may 2012,1.0,DK00100232582012-05-18
11871,16221,Utimaco Safeware AG,DE0007572406,0,2012-05-18,1,utimaco safeware ag: ,0.0,DE00075724062012-05-18
11872,16223,Alliance Oil Company Ltd,SE0000739286,0,2012-05-18,1,alliance oil schedules conference call to review 1q12 results,1.0,SE00007392862012-05-18
11874,16226,Nexus AG,DE0005220909,0,2012-05-21,1,nexus ag: strong increase in result and sales in the first quarter 2012,0.0,DE00052209092012-05-21
11875,16228,Kabel Deutschland Holding AG,DE000KD88880,0,2012-05-21,1,kabel deutschland holding ag: kabel deutschland acquires tele columbus group with 1.7 million customers,1.0,DE000KD888802012-05-21
11877,16231,Lundin Petroleum AB,SE0000825820,0,2012-05-21,1,lundin petroleum to repurchase shares,1.0,SE00008258202012-05-21
11883,16237,CTS Eventim AG & Co. KGaA,DE0005470306,0,2012-05-21,1,cts eventim starts 2012 financial year with earnings growth,0.0,DE00054703062012-05-21
11884,16239,"United Plantations Berhad, Malaysia",DK0010023258,0,2012-05-21,1,insider trading may 2012,0.0,DK00100232582012-05-21
11889,16245,Talsu mežrupnieciba,LV0000100139,0,2012-05-21,1,notice on acquisition/loss of significant participation,0.0,LV00001001392012-05-21
11890,16246,Vestas Wind Systems A/S,DK0010268606,0,2012-05-21,1,information in the market regarding projects in south africa,0.0,DK00102686062012-05-21
11891,16247,Marel hf.,IS0000000388,0,2012-05-21,1,date of transaction: 21 may 2012,0.0,IS00000003882012-05-21
